ubica_geo,desc_ent,est_socio,clase_hog,sexo_jefe,edad_jefe,educa_jefe,tot_integ,ocupados,ing_cor,jubilacion,becas,bene_gob,gasto_mon
1001,Aguascalientes,Alto,Ampliado,Mujer,91,Primaria incompleta,3,1,56123.75,0.0,391.3,7434.78,35091.17
1001,Aguascalientes,Alto,Nuclear,Hombre,68,Preparatoria completa,2,2,108048.87,0.0,0.0,0.0,78670.73
1001,Aguascalientes,Alto,Nuclear,Hombre,56,Profesional completa,3,2,133852.88,0.0,0.0,0.0,101647.27
1001,Aguascalientes,Medio alto,Ampliado,Hombre,87,Posgrado,4,0,105054.15,79239.13,0.0,11298.9,46702.31
1001,Aguascalientes,Medio alto,Unipersonal,Hombre,27,Preparatoria completa,1,1,24211.95,0.0,0.0,0.0,26927.85
1001,Aguascalientes,Medio alto,Nuclear,Hombre,57,Preparatoria completa,4,3,121649.86,0.0,0.0,0.0,51176.07
1001,Aguascalientes,Medio alto,Nuclear,Mujer,47,Profesional completa,4,1,60260.85,0.0,0.0,0.0,79134.46
1001,Aguascalientes,Alto,Unipersonal,Mujer,75,Secundaria completa,1,0,95977.97,73369.56,0.0,5649.45,39679.48
1001,Aguascalientes,Alto,Nuclear,Mujer,70,Profesional completa,3,3,158399.43,44021.73,0.0,0.0,48187.73
1001,Aguascalientes,Alto,Nuclear,Hombre,69,Primaria completa,2,1,61343.01,0.0,0.0,5649.45,37804.11
1001,Aguascalientes,Alto,Nuclear,Hombre,48,Secundaria completa,5,1,43035.57,0.0,0.0,0.0,17792.53
1001,Aguascalientes,Medio alto,Unipersonal,Hombre,73,Preparatoria completa,1,0,85698.79,73369.56,0.0,2445.65,33152.12
1001,Aguascalientes,Medio alto,Ampliado,Mujer,64,Profesional completa,4,1,138427.04,76304.34,0.0,0.0,38555.93
1001,Aguascalientes,Medio alto,Ampliado,Mujer,55,Posgrado,3,1,111300.83,64565.21,0.0,0.0,86114.71
1001,Aguascalientes,Medio alto,Unipersonal,Mujer,58,Preparatoria completa,1,0,21622.71,12913.04,0.0,0.0,4544.45
1001,Aguascalientes,Medio alto,Ampliado,Hombre,43,Preparatoria completa,6,3,36915.13,0.0,0.0,0.0,29542.82
1001,Aguascalientes,Medio alto,Ampliado,Hombre,42,Preparatoria completa,4,1,27818.79,0.0,0.0,0.0,20018.11
1001,Aguascalientes,Medio bajo,Nuclear,Hombre,80,Primaria incompleta,2,1,60810.72,0.0,0.0,11152.16,6208.39
1001,Aguascalientes,Medio bajo,Nuclear,Hombre,39,Preparatoria completa,3,1,37809.76,0.0,0.0,0.0,36396.32
1001,Aguascalientes,Medio bajo,Unipersonal,Mujer,61,Profesional completa,1,1,36929.34,0.0,0.0,0.0,55981.39
1001,Aguascalientes,Medio bajo,Nuclear,Mujer,63,Primaria completa,2,2,17170.04,0.0,0.0,0.0,14828.61
1001,Aguascalientes,Medio alto,Ampliado,Hombre,91,Primaria completa,11,6,187702.46,38152.17,0.0,11152.16,93981.16
1001,Aguascalientes,Medio alto,Ampliado,Mujer,83,Primaria incompleta,6,3,88661.69,0.0,782.6,8804.34,22674.04
1001,Aguascalientes,Medio alto,Nuclear,Hombre,62,Preparatoria completa,4,1,48778.13,23478.26,0.0,0.0,17366.17
1001,Aguascalientes,Medio alto,Nuclear,Hombre,67,Secundaria completa,3,1,63321.05,26413.04,0.0,11152.16,32332.04
1001,Aguascalientes,Medio alto,Ampliado,Hombre,73,Primaria completa,3,2,58178.08,7336.95,0.0,8559.77,47859.99
1001,Aguascalientes,Medio bajo,Nuclear,Mujer,54,Profesional incompleta,2,2,65717.79,0.0,0.0,0.0,40564.15
1001,Aguascalientes,Medio bajo,Nuclear,Mujer,33,Secundaria completa,4,1,38168.91,0.0,0.0,0.0,52289.59
1001,Aguascalientes,Medio bajo,Nuclear,Mujer,51,Secundaria completa,2,1,25434.76,7043.47,0.0,782.6,21213.21
1001,Aguascalientes,Alto,Nuclear,Hombre,32,Secundaria completa,4,1,72176.03,0.0,0.0,0.0,57890.49
1001,Aguascalientes,Alto,Nuclear,Hombre,48,Posgrado,2,1,30326.08,0.0,0.0,0.0,34081.99
1001,Aguascalientes,Alto,Nuclear,Hombre,67,Secundaria completa,3,1,72020.49,0.0,0.0,0.0,15940.66
1001,Aguascalientes,Alto,Nuclear,Mujer,52,Profesional completa,3,2,55749.79,0.0,0.0,0.0,25770.21
1001,Aguascalientes,Alto,Unipersonal,Mujer,64,Profesional completa,1,1,73211.76,0.0,0.0,0.0,31195.44
1001,Aguascalientes,Alto,Nuclear,Hombre,71,Profesional completa,2,0,76506.29,35217.39,0.0,0.0,37249.29
1001,Aguascalientes,Medio bajo,Nuclear,Hombre,53,Secundaria completa,6,3,70076.41,0.0,1475.4,0.0,30064.02
1001,Aguascalientes,Medio bajo,Nuclear,Hombre,50,Secundaria incompleta,3,2,52377.03,0.0,0.0,0.0,71154.53
1001,Aguascalientes,Medio bajo,Nuclear,Mujer,46,Secundaria completa,5,2,35227.14,0.0,0.0,0.0,26881.43
1001,Aguascalientes,Medio bajo,Nuclear,Mujer,53,Preparatoria completa,2,2,122178.67,8763.93,0.0,0.0,81669.67
1001,Aguascalientes,Medio bajo,Ampliado,Hombre,30,Secundaria completa,5,1,30333.68,0.0,0.0,0.0,15787.84
1001,Aguascalientes,Medio alto,Nuclear,Mujer,62,Primaria completa,2,0,14817.5,0.0,0.0,0.0,19341.16
1001,Aguascalientes,Medio alto,Ampliado,Mujer,73,Primaria incompleta,5,2,68468.81,0.0,0.0,7042.61,38585.22
1001,Aguascalientes,Medio alto,Nuclear,Hombre,72,Primaria completa,4,3,72012.78,9442.62,0.0,7475.4,42322.9
1001,Aguascalientes,Medio alto,Ampliado,Hombre,58,Secundaria completa,2,2,31745.89,0.0,0.0,0.0,16143.55
1001,Aguascalientes,Medio alto,Ampliado,Hombre,71,Primaria incompleta,4,1,27242.95,9295.08,0.0,7475.4,15677.98
1001,Aguascalientes,Medio alto,Nuclear,Mujer,42,Secundaria completa,4,2,25131.13,0.0,0.0,0.0,25580.08
1001,Aguascalientes,Medio bajo,Unipersonal,Hombre,79,Primaria completa,1,0,21280.31,0.0,0.0,7434.78,18792.83
1001,Aguascalientes,Medio bajo,Unipersonal,Mujer,81,Primaria incompleta,1,0,22503.14,8217.39,0.0,5576.08,15943.5
1001,Aguascalientes,Medio bajo,Nuclear,Hombre,57,Secundaria incompleta,4,4,26192.89,0.0,0.0,0.0,30659.37
1001,Aguascalientes,Medio bajo,Nuclear,Hombre,48,Primaria incompleta,6,2,51939.99,0.0,0.0,0.0,41086.67
1001,Aguascalientes,Medio bajo,Nuclear,Mujer,68,Primaria completa,2,2,70733.59,17608.69,0.0,5576.08,14933.15
1001,Aguascalientes,Medio bajo,Nuclear,Hombre,50,Preparatoria completa,3,2,68297.97,0.0,0.0,0.0,31982.85
1001,Aguascalientes,Medio bajo,Ampliado,Mujer,62,Sin instrucción,9,5,153010.15,0.0,0.0,0.0,57583.63
1001,Aguascalientes,Medio bajo,Ampliado,Mujer,64,Secundaria completa,4,1,41149.85,8353.59,0.0,0.0,24837.28
1001,Aguascalientes,Medio bajo,Unipersonal,Hombre,48,Preparatoria completa,1,1,17527.62,0.0,0.0,0.0,10562.35
1001,Aguascalientes,Medio bajo,Compuesto,Hombre,25,Profesional incompleta,6,5,126252.4,0.0,0.0,0.0,41289.35
1001,Aguascalientes,Medio alto,Nuclear,Hombre,29,Profesional incompleta,2,0,19910.3,0.0,0.0,0.0,308.57
1001,Aguascalientes,Medio alto,Ampliado,Hombre,62,Secundaria completa,5,1,65032.3,12717.38,0.0,0.0,44543.33
1001,Aguascalientes,Medio alto,Nuclear,Hombre,39,Secundaria completa,2,2,69712.04,0.0,0.0,0.0,52613.0
1001,Aguascalientes,Medio alto,Nuclear,Hombre,31,Profesional completa,2,2,53480.87,0.0,0.0,0.0,31439.05
1001,Aguascalientes,Medio alto,Nuclear,Hombre,55,Profesional completa,5,1,77312.29,0.0,0.0,0.0,37022.85
1001,Aguascalientes,Medio alto,Nuclear,Hombre,85,Primaria completa,2,0,59179.48,21033.14,0.0,13425.4,26396.03
1001,Aguascalientes,Medio alto,Nuclear,Hombre,70,Profesional completa,3,1,295367.41,176022.08,0.0,11138.12,366520.24
1001,Aguascalientes,Medio alto,Nuclear,Hombre,38,Preparatoria completa,5,1,132003.84,0.0,0.0,0.0,51841.43
1001,Aguascalientes,Medio alto,Nuclear,Hombre,83,Primaria incompleta,2,0,30664.51,2934.78,0.0,13182.05,28060.74
1001,Aguascalientes,Medio alto,Nuclear,Hombre,72,Primaria incompleta,2,0,20985.06,8804.34,0.0,11152.16,26185.24
1001,Aguascalientes,Medio alto,Nuclear,Hombre,44,Preparatoria completa,4,2,85688.78,0.0,0.0,0.0,53282.4
1001,Aguascalientes,Medio alto,Ampliado,Hombre,63,Secundaria completa,4,4,84657.38,11739.13,0.0,0.0,92016.29
1001,Aguascalientes,Medio alto,Unipersonal,Mujer,85,Primaria completa,1,0,22062.92,8804.34,0.0,4548.91,3666.52
1001,Aguascalientes,Medio alto,Ampliado,Mujer,64,Secundaria completa,7,4,58893.18,0.0,0.0,0.0,32258.65
1001,Aguascalientes,Medio alto,Nuclear,Hombre,72,Primaria completa,2,0,24442.61,14754.09,0.0,3688.52,9098.82
1001,Aguascalientes,Medio alto,Nuclear,Mujer,72,Primaria incompleta,2,1,55106.53,10918.03,0.0,5311.47,16743.11
1001,Aguascalientes,Medio alto,Ampliado,Hombre,59,Secundaria completa,4,1,42665.87,0.0,0.0,0.0,39969.5
1001,Aguascalientes,Medio alto,Nuclear,Hombre,27,Profesional completa,2,2,47999.98,0.0,0.0,0.0,45194.64
1001,Aguascalientes,Medio alto,Nuclear,Hombre,77,Primaria completa,3,1,113844.95,32459.01,0.0,10032.78,40192.91
1001,Aguascalientes,Medio alto,Nuclear,Hombre,29,Preparatoria completa,4,2,30393.44,0.0,0.0,0.0,60515.78
1001,Aguascalientes,Medio alto,Nuclear,Hombre,53,Profesional completa,4,1,99098.33,0.0,0.0,0.0,118595.22
1001,Aguascalientes,Medio alto,Nuclear,Hombre,58,Posgrado,2,1,86803.26,1967.21,0.0,0.0,74289.17
1001,Aguascalientes,Medio alto,Ampliado,Mujer,71,Secundaria completa,2,0,34819.64,23606.54,0.0,11213.1,36171.26
1001,Aguascalientes,Medio alto,Unipersonal,Mujer,59,Profesional incompleta,1,0,45879.61,29508.19,0.0,0.0,17504.55
1001,Aguascalientes,Medio alto,Nuclear,Hombre,78,Preparatoria completa,4,3,123270.42,14754.09,0.0,5606.55,73120.8
1001,Aguascalientes,Medio alto,Unipersonal,Hombre,76,Primaria completa,1,1,149792.22,73369.55,0.0,3766.3,27776.77
1001,Aguascalientes,Medio alto,Nuclear,Hombre,67,Profesional completa,2,2,107876.89,0.0,0.0,7532.6,31596.24
1001,Aguascalientes,Medio alto,Nuclear,Hombre,69,Profesional completa,2,1,68145.64,0.0,0.0,3766.3,45922.64
1001,Aguascalientes,Medio alto,Nuclear,Mujer,66,Posgrado,3,2,135746.24,73369.56,0.0,7532.6,42985.43
1001,Aguascalientes,Medio alto,Nuclear,Hombre,69,Secundaria completa,2,1,57529.99,11152.17,0.0,11298.9,18818.25
1001,Aguascalientes,Medio alto,Ampliado,Mujer,65,Secundaria completa,5,2,310992.7,160972.82,0.0,21145.1,169833.94
1001,Aguascalientes,Medio alto,Unipersonal,Mujer,64,Secundaria completa,1,0,102401.81,73369.56,0.0,0.0,25750.07
1001,Aguascalientes,Medio alto,Nuclear,Hombre,58,Preparatoria completa,3,1,60720.72,0.0,14673.91,0.0,25845.16
1001,Aguascalientes,Medio alto,Ampliado,Hombre,72,Primaria completa,3,1,43872.63,6163.04,0.0,7532.6,22168.05
1001,Aguascalientes,Medio alto,Nuclear,Hombre,24,Profesional completa,3,2,79728.15,0.0,0.0,0.0,36972.33
1001,Aguascalientes,Medio alto,Nuclear,Hombre,40,Profesional completa,3,2,60541.7,0.0,0.0,0.0,41384.41
1001,Aguascalientes,Medio alto,Unipersonal,Mujer,27,Profesional completa,1,1,29347.82,0.0,0.0,0.0,39367.15
1001,Aguascalientes,Medio alto,Ampliado,Hombre,58,Profesional incompleta,5,2,46080.8,0.0,0.0,0.0,27345.95
1001,Aguascalientes,Medio alto,Ampliado,Hombre,80,Primaria completa,3,1,50443.71,17114.74,0.0,15934.41,18977.7
1001,Aguascalientes,Medio alto,Unipersonal,Mujer,88,Primaria completa,1,0,88733.66,0.0,0.0,5680.32,81093.87
1001,Aguascalientes,Medio alto,Unipersonal,Mujer,76,Primaria completa,1,0,19962.42,0.0,0.0,5680.32,18474.86
1001,Aguascalientes,Medio alto,Nuclear,Hombre,63,Preparatoria completa,5,5,146458.95,0.0,0.0,0.0,57833.39
1001,Aguascalientes,Medio alto,Nuclear,Hombre,71,Preparatoria completa,2,0,154728.29,112131.14,0.0,11360.64,71630.22
1001,Aguascalientes,Medio alto,Unipersonal,Mujer,78,Secundaria completa,1,0,286043.47,0.0,0.0,5606.55,4943.91
1001,Aguascalientes,Medio alto,Nuclear,Mujer,82,Primaria completa,2,0,31936.26,14673.91,0.0,5649.45,17196.63
1001,Aguascalientes,Medio alto,Corresidente,Hombre,25,Profesional completa,3,3,99293.46,0.0,0.0,0.0,74385.45
1001,Aguascalientes,Medio alto,Ampliado,Mujer,64,Primaria incompleta,9,2,48081.15,0.0,0.0,5576.08,9966.65
1001,Aguascalientes,Medio alto,Nuclear,Hombre,40,Preparatoria completa,5,2,57159.74,0.0,0.0,1232.6,37011.95
1001,Aguascalientes,Medio alto,Nuclear,Hombre,38,Profesional incompleta,4,1,63647.07,0.0,0.0,0.0,41073.1
