desc_ent,tot_integ,ocupados,ing_cor,jubilacion,becas,bene_gob,gasto_mon,est_socio,clase_hog,sexo_jefe,educa_jefe
Aguascalientes,3.6957662045710005,1.7122517796927688,73161.57680029974,5226.21060322218,122.04405395279132,1653.3805957287373,43144.353334582236,Medio bajo,Nuclear,Hombre,Secundaria completa
Baja California,3.2610480560251145,1.528374788698382,80340.93580536103,5136.2700700313935,62.34372373822748,1130.1108355469692,45482.24418497947,Medio bajo,Nuclear,Hombre,Secundaria completa
Baja California Sur,3.0407060518731988,1.595100864553314,87776.71182997117,7133.602907060519,223.24782780979825,1422.9851476945246,45870.23332853026,Medio bajo,Nuclear,Hombre,Secundaria completa
Campeche,3.470508166969147,1.7463702359346642,57920.87255444646,4753.4496324863885,45.86603448275862,2121.7372096188747,35911.76363430127,Medio bajo,Nuclear,Hombre,Secundaria completa
Chiapas,3.891098484848485,1.8887310606060606,40764.965288825755,2899.9170785984847,54.32481534090909,2408.5305113636364,26449.56696496212,Bajo,Nuclear,Hombre,Primaria incompleta
Chihuahua,3.155872667398463,1.4406147091108672,73980.6326586169,5172.929468715697,79.76337211855105,1612.2720439077937,35494.00346212953,Medio bajo,Nuclear,Hombre,Secundaria completa
Ciudad de México,3.2479690522243714,1.579110251450677,77909.2524139265,7264.677655705996,585.2966460348163,2011.9228549323018,51205.108560928435,Medio bajo,Nuclear,Hombre,Secundaria completa
Coahuila de Zaragoza,3.401939393939394,1.5233939393939393,69760.73778181818,6306.452184242425,89.58468848484848,1490.2312048484848,40915.51522181818,Medio bajo,Nuclear,Hombre,Secundaria completa
Colima,3.138238205212801,1.5941933355328275,63840.80078851864,6276.697258330584,98.39496865720885,1879.2460178159022,39238.67766413725,Medio bajo,Nuclear,Hombre,Secundaria completa
Durango,3.6291927755252487,1.6092886103943973,53608.34027276078,4594.261444894951,71.52829708809436,2072.819030593439,33307.404316255066,Medio bajo,Nuclear,Hombre,Secundaria completa
Guanajuato,3.7226918075422626,1.6940832249674902,55513.68992847855,3028.903511053316,41.88408972691808,1535.374678153446,33622.62118335501,Medio bajo,Nuclear,Hombre,Secundaria completa
Guerrero,3.5260047281323876,1.7462568951930655,40568.35884554768,2696.3104097714736,16.859802994483847,2511.15158392435,29766.58620567376,Bajo,Nuclear,Hombre,Primaria incompleta
Hidalgo,3.4978922716627636,1.844496487119438,52075.45657611242,3263.0331850117095,86.04202341920374,2025.6668524590166,33322.78409367682,Medio bajo,Nuclear,Hombre,Secundaria completa
Jalisco,3.5165714285714285,1.6872380952380952,68482.60318095238,5334.234102857143,93.85586666666667,1693.7211923809523,42406.901653333334,Medio bajo,Nuclear,Hombre,Secundaria completa
Michoacán de Ocampo,3.4410835214446953,1.6925507900677201,56305.68778329571,3439.638505643341,120.00138600451467,1934.4466952595935,39563.165534988715,Medio bajo,Nuclear,Hombre,Secundaria completa
Morelos,3.3169443315725315,1.653799268590004,55489.63082486794,5355.131621292157,148.206383583909,1889.3275457131247,37027.56622511175,Medio bajo,Nuclear,Hombre,Secundaria completa
México,3.6333994896512616,1.7269634250070882,51906.31311596258,3335.565837822512,54.506325489084205,1671.5334902183158,35418.71,Medio bajo,Nuclear,Hombre,Secundaria completa
Nayarit,3.244131455399061,1.5990610328638497,66293.86336150236,6356.204225352113,121.69466666666668,1816.6864084507042,39450.91192018779,Medio bajo,Nuclear,Hombre,Secundaria completa
Nuevo León,3.3269656699889256,1.648671096345515,70860.64524640089,5733.78369324474,112.1414119601329,1778.6655509413067,40356.92686877076,Medio bajo,Nuclear,Hombre,Secundaria completa
Oaxaca,3.4973282442748093,1.8625954198473282,41136.28327480916,2851.930064885496,13.663744274809162,2691.814278625954,25538.447080152673,Bajo,Nuclear,Hombre,Secundaria completa
Puebla,3.740229885057471,1.8891954022988506,46926.68477241379,2373.629388505747,50.94274022988506,1791.063783908046,32416.14602758621,Medio bajo,Nuclear,Hombre,Secundaria completa
