Entidad federativa,2022/2023
Aguascalientes,13.3
Baja California,13.6
Baja California Sur,13.2
Campeche,13.3
Coahuila de Zaragoza,13.4
Colima,13.3
Chiapas,12.1
Chihuahua,13.4
Ciudad de México,17.7
Durango,13.1
Guanajuato,13.0
Guerrero,12.6
Hidalgo,13.8
Jalisco,13.6
México,13.3
Michoacán de Ocampo,12.6
Morelos,13.5
Nayarit,13.1
Nuevo León,13.5
Oaxaca,11.9
Puebla,13.7
Querétaro,13.7
Quintana Roo,12.7
San Luis Potosí,13.1
Sinaloa,14.4
Sonora,13.6
Tabasco,14.2
Tamaulipas,13.7
Tlaxcala,13.4
Veracruz de Ignacio de la Llave,12.6
Yucatán,13.8
Zacatecas,13.4
,
