desc_ent,tot_integ,ocupados,ing_cor,jubilacion,becas,bene_gob,gasto_mon,est_socio,clase_hog,sexo_jefe,educa_jefe,pib_millones,escolaridad_promedio
Aguascalientes,3.695766204571001,1.7122517796927688,73161.57680029974,5226.21060322218,122.04405395279132,1653.3805957287373,43144.35333458224,Medio bajo,Nuclear,Hombre,Secundaria completa,314592.145,13.3
Baja California,3.2610480560251145,1.528374788698382,80340.93580536103,5136.2700700313935,62.34372373822748,1130.1108355469692,45482.24418497947,Medio bajo,Nuclear,Hombre,Secundaria completa,919233.204,13.6
Baja California Sur,3.0407060518731988,1.595100864553314,87776.71182997117,7133.602907060519,223.24782780979825,1422.9851476945246,45870.23332853026,Medio bajo,Nuclear,Hombre,Secundaria completa,178120.33,13.2
Campeche,3.470508166969147,1.7463702359346642,57920.87255444646,4753.4496324863885,45.86603448275862,2121.7372096188747,35911.76363430127,Medio bajo,Nuclear,Hombre,Secundaria completa,472660.178,13.3
Chiapas,3.891098484848485,1.8887310606060608,40764.96528882576,2899.9170785984847,54.32481534090909,2408.5305113636364,26449.56696496212,Bajo,Nuclear,Hombre,Primaria incompleta,374504.635,12.1
Chihuahua,3.155872667398463,1.4406147091108672,73980.6326586169,5172.929468715697,79.76337211855105,1612.2720439077937,35494.00346212953,Medio bajo,Nuclear,Hombre,Secundaria completa,911306.318,13.4
Ciudad de México,3.247969052224372,1.579110251450677,77909.2524139265,7264.677655705996,585.2966460348163,2011.9228549323016,51205.10856092844,Medio bajo,Nuclear,Hombre,Secundaria completa,3650609.372,17.7
Coahuila de Zaragoza,3.401939393939394,1.5233939393939393,69760.73778181818,6306.452184242425,89.58468848484848,1490.2312048484848,40915.51522181818,Medio bajo,Nuclear,Hombre,Secundaria completa,935812.824,13.4
Colima,3.138238205212801,1.5941933355328275,63840.80078851864,6276.697258330584,98.39496865720884,1879.2460178159024,39238.67766413725,Medio bajo,Nuclear,Hombre,Secundaria completa,148449.257,13.3
Durango,3.6291927755252487,1.6092886103943973,53608.34027276078,4594.261444894951,71.52829708809436,2072.819030593439,33307.404316255066,Medio bajo,Nuclear,Hombre,Secundaria completa,300468.953,13.1
Guanajuato,3.722691807542263,1.6940832249674902,55513.68992847855,3028.903511053316,41.88408972691808,1535.374678153446,33622.62118335501,Medio bajo,Nuclear,Hombre,Secundaria completa,1110972.693,13.0
Guerrero,3.526004728132388,1.7462568951930657,40568.35884554768,2696.3104097714736,16.859802994483847,2511.15158392435,29766.58620567376,Bajo,Nuclear,Hombre,Primaria incompleta,310093.176,12.6
